result_id,randomized,type,count,inserted,insert_time,search,search_time,removed,remove_time
17,True,AVL,15000,15000,3457,2252,3,2065,1504
17,True,AVL,20000,20000,6105,3913,3,3636,3508
17,True,AVL,25000,25000,10016,6209,4,5469,6758
17,True,AVL,30000,30000,14964,8930,6,7819,12463
17,True,BST,10000,10000,3,998,1,965,4
17,True,BST,15000,15000,6,2252,3,1974,6
17,True,BST,20000,20000,9,3913,6,3528,9
17,True,BST,25000,25000,11,6209,6,5469,11
17,True,BST,30000,30000,14,8930,7,7819,14
17,True,LIST,10000,10000,933,1007,996,936,1894
17,True,LIST,15000,15000,2843,2236,2324,2111,4040
17,True,LIST,20000,20000,4405,4050,3543,3629,6506
17,True,LIST,25000,25000,7615,6265,5760,5588,10114
17,True,LIST,30000,30000,11598,9081,9059,7725,14707
18,False,AVL,10000,9872,527,1041,1,914,395
18,False,AVL,15000,14723,1432,2203,2,2006,1256
18,False,AVL,20000,19486,2667,3885,3,3520,3132
18,False,AVL,25000,24207,4527,6030,4,5340,5681
18,False,AVL,30000,28836,7354,8616,7,7478,9548
